baseMean	log2FoldChange	lfcSE	pvalue	padj	diffexpressed
F13A1	84.0812121546734	-1.5443674262818	0.502679531636724	1.8787508034006e-05	0.00190619045329238	Down-regulated in IgA
TAL2	19.6646592231346	-1.427579390673	0.489011446058101	0.00010396134743958	0.00703198201847894	Down-regulated in IgA
CD200	172.968856385123	-1.37989892933344	0.210237942227146	3.16962326596262e-13	5.4313255564084e-10	Down-regulated in IgA
IL5RA	34.1948525882874	-1.2494449139213	0.266041221036868	9.84093661549906e-08	3.99386643379544e-05	Down-regulated in IgA
ZHX3	17.2619303177812	-1.22804728078194	0.402519093332878	5.4959494433028e-05	0.00450843256992637	Down-regulated in IgA
P2RY14	30.4118408740809	-1.0223994384481	0.269594072448305	3.65008435231178e-06	0.00058546632434167	Down-regulated in IgA
AIFM2	46.5542835705725	1.00110416691345	0.281309097413725	1.191892796148e-05	0.00136158301497736	Up-regulated in IgA
APOL1	141.107912636449	1.00851428518082	0.344560904695172	5.6865272634972e-05	0.00459149861034836	Up-regulated in IgA
TGM2	507.592312730002	1.03186557331898	0.371257983430196	8.82552920579341e-05	0.00605131372586778	Up-regulated in IgA
MYO1E	118.594648016183	1.043773882856	0.245241234337223	7.46967610304012e-07	0.000178590263997206	Up-regulated in IgA
ITGAX	241.875788220449	1.06884906604136	0.269528812963734	1.27864060858332e-06	0.000270125965281808	Up-regulated in IgA
PCYT2	36.1670598569982	1.12150964357474	0.364761401706659	5.2487175688792e-05	0.00439922404061169	Up-regulated in IgA
DHRS3	45.1668052531411	1.12251099416763	0.409555215794169	0.000134068256095881	0.00847377313733882	Up-regulated in IgA
OSTN-AS1	24.3182468299777	1.24163566312157	0.365864003501232	1.58120272623425e-05	0.00170526632475417	Up-regulated in IgA
AQP3	329.50686584113	1.29715908778376	0.39671302752381	2.18390107851569e-05	0.00218702093719929	Up-regulated in IgA
LGALS3BP	1073.36813885674	1.32627120686485	0.378128437547396	7.17072253633001e-06	0.000958776190485696	Up-regulated in IgA
