"gene"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"
"IGHM"	"IGHM"	3.07157257882656e-123	-0.853335338384101	0.288	0.463	8.69132176904765e-119	"0"
"TCL1A"	"TCL1A"	1.8253249352365e-121	-1.14849284487185	0.008	0.124	5.1649394367452e-117	"0"
"RP5-887A10.1"	"RP5-887A10.1"	3.41365998853071e-96	0.470268188009364	0.539	0.366	9.65929230354649e-92	"0"
"AL928768.3"	"AL928768.3"	3.80137404033015e-87	0.686399969333854	0.392	0.251	1.07563679845182e-82	"0"
"BTG1"	"BTG1"	4.04879847600179e-76	-0.310342383315122	0.961	0.96	1.14564801676947e-71	"0"
"CD83"	"CD83"	3.09144432935718e-73	-0.560807943351563	0.437	0.561	8.74755087434907e-69	"0"
"CD69"	"CD69"	4.5302728642952e-73	-0.605500605273114	0.685	0.764	1.28188600968097e-68	"0"
"ITGB1"	"ITGB1"	6.32310741669285e-71	0.511593549305987	0.353	0.231	1.78918647462741e-66	"0"
"ZNF331"	"ZNF331"	4.46357380217038e-62	-0.608893934851602	0.187	0.305	1.26301284306213e-57	"0"
"IGHD"	"IGHD"	1.97089174446615e-61	-0.466742010212574	0.123	0.241	5.57683528014141e-57	"0"
"RGS1"	"RGS1"	3.43677673099113e-61	-0.655374370752692	0.498	0.596	9.72470343801249e-57	"0"
"SSPN"	"SSPN"	7.29803512823003e-58	0.426089660361324	0.212	0.12	2.06505201988397e-53	"0"
"TEX9"	"TEX9"	5.27840458872568e-56	0.357161122835586	0.168	0.087	1.49357736242582e-51	"0"
"CLEC2B"	"CLEC2B"	4.37831800685555e-54	-0.474482863766987	0.05	0.132	1.23888886321985e-49	"0"
"AC079767.4"	"AC079767.4"	5.37258160935185e-54	-0.531020814840569	0.123	0.224	1.5202256921822e-49	"0"
"SLA"	"SLA"	2.03457958900745e-53	-0.357594631461782	0.032	0.106	5.75704640505548e-49	"0"
"PHACTR1"	"PHACTR1"	2.75602747725226e-53	-0.51132395979336	0.097	0.194	7.798455349633e-49	"0"
"CD72"	"CD72"	8.06774611957179e-53	-0.434926135510175	0.05	0.13	2.28284944199403e-48	"0"
"JUNB"	"JUNB"	4.30848158240566e-52	-0.484307720023654	0.702	0.752	1.21912794855751e-47	"0"
"FCER2"	"FCER2"	9.26884225177815e-44	-0.456748483682429	0.064	0.14	2.62271160356315e-39	"0"
"FOXP1"	"FOXP1"	6.43640578040121e-42	-0.41237980119407	0.161	0.254	1.82124537962233e-37	"0"
"RNASE6"	"RNASE6"	9.67261342134354e-41	-0.435856202512772	0.158	0.248	2.73696269370337e-36	"0"
