"gene"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"
"DUSP1"	1.30367085261666e-57	0.371877897412383	0.897	0.787	3.68886704456411e-53	"0"
"MTRNR2L1"	1.26611509377675e-38	0.631838461544137	0.281	0.174	3.58259926935069e-34	"0"
"RP5-887A10.1"	2.64516489858256e-30	0.339336231920676	0.553	0.432	7.48475859702923e-26	"0"
"HLA-DQA2"	4.7229021990105e-26	-0.43169842812881	0.214	0.318	1.33639240623201e-21	"0"
"JUN"	1.69163159972606e-21	0.309924076960187	0.642	0.541	4.78664077458487e-17	"0"
"HOPX"	6.82588189356382e-21	-0.606122862396129	0.082	0.153	1.93145154060282e-16	"0"
"DUSP4"	1.41607068987838e-17	-0.401403831780812	0.061	0.12	4.00691362407985e-13	"0"
"HCST"	5.47921425224168e-16	-0.348221659839654	0.135	0.204	1.55039846481431e-11	"0"
"MS4A1"	1.35648073396833e-15	-0.270748510822675	0.821	0.828	3.83829788483677e-11	"0"
"FCRL5"	5.52160769986559e-14	-0.346728366020561	0.052	0.1	1.56239411475397e-09	"0"
"JCHAIN"	6.16375661968363e-14	0.263588883140507	0.403	0.332	1.74409657310568e-09	"0"
"ARPC1B"	2.69331007003671e-12	-0.281960528395067	0.5	0.55	7.62099017417587e-08	"0"
"PFN1"	7.060294212325e-11	-0.250469795506791	0.789	0.778	1.99778085031948e-06	"0"
"DUSP2"	1.58154412307083e-08	-0.43868205507301	0.269	0.318	0.000447513725064123	"0"
"IGHM"	4.46962403413986e-176	0.906803233378544	0.639	0.35	1.26472481670022e-171	"1"
"CD69"	7.68398719198161e-173	0.830948210377425	0.906	0.704	2.17426101584312e-168	"1"
"AC079767.4"	1.45449719811706e-157	0.78789727840749	0.418	0.17	4.11564527179202e-153	"1"
"JUNB"	1.77540553790617e-134	0.747597126273484	0.884	0.704	5.02368751005931e-130	"1"
"BTG1"	2.64134713879976e-117	0.444766004515748	0.993	0.952	7.4739558639478e-113	"1"
"CXCR4"	1.19187993248833e-111	0.45504113963085	0.986	0.933	3.37254345696897e-107	"1"
"DUSP1"	6.22118491057632e-108	0.530480856430662	0.932	0.783	1.76034648229668e-103	"1"
"LY9"	9.92258285964821e-104	0.670199058729117	0.536	0.311	2.80769404596606e-99	"1"
"ZFP36L2"	1.33572387574564e-99	0.546205051198264	0.874	0.714	3.77956427880987e-95	"1"
"RGS2"	7.16805449185813e-97	0.781775919101204	0.565	0.349	2.02827269901618e-92	"1"
"CD83"	1.16677056455212e-87	0.527421938659245	0.715	0.494	3.30149398945667e-83	"1"
"NR4A2"	2.350937486429e-85	0.563875575450127	0.641	0.421	6.65221271159951e-81	"1"
"ZNF331"	1.20746338526715e-84	0.733799453981771	0.433	0.244	3.41663839495193e-80	"1"
"SIDT1"	1.85277002672295e-76	0.47244582226243	0.266	0.118	5.24259806761527e-72	"1"
"YPEL5"	4.5195321975777e-76	0.530743555461714	0.594	0.397	1.27884683062659e-71	"1"
"TGIF1"	4.09734612025295e-74	0.624995575249472	0.306	0.151	1.15938505818677e-69	"1"
"H3F3B"	4.49324312081847e-73	0.428953191510308	0.939	0.845	1.27140807346679e-68	"1"
"HLA-DRA"	6.97485476246837e-73	-0.300469962123938	0.997	0.99	1.97360490358805e-68	"1"
"HLA-DPB1"	1.42388407476848e-71	-0.420247027276714	0.94	0.933	4.02902237796488e-67	"1"
"VPS37B"	6.19502328561539e-69	0.468326574933219	0.319	0.162	1.75294378889773e-64	"1"
"VPREB3"	2.12976348254686e-68	0.415009977415907	0.727	0.516	6.0263787502146e-64	"1"
"RNASE6"	1.38574356218598e-63	0.53199932640768	0.339	0.184	3.92109998356145e-59	"1"
"PMAIP1"	2.3349064237683e-63	0.549438663547924	0.429	0.255	6.60685121669478e-59	"1"
"SAT1"	2.65732534915075e-63	0.48183687305125	0.833	0.682	7.51916780795695e-59	"1"
"IL6"	1.26910627777193e-62	0.5277180860739	0.115	0.035	3.59106312358346e-58	"1"
"TMEM2"	2.31379260798264e-62	0.511407822894321	0.296	0.152	6.54710756354768e-58	"1"
"SLA"	6.90111084507922e-61	0.367686033879168	0.157	0.059	1.95273832472362e-56	"1"
